Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	batch	biomaterial_provider	cell_subtype	cell_type	isolate	phenotype	sex	source_name	tissue	wellID	wellKey
AMPLICON		408	PRJNA203810	SAMN02183136	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288239	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	9	human gut metagenome	LS454	2013-06-04	SRR870434	SRS430898	SRP023463	109B_FE												
AMPLICON		404	PRJNA203810	SAMN02183137	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288240	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	5	11	human gut metagenome	LS454	2013-06-04	SRR870435	SRS430899	SRP023463	110B_FE												
AMPLICON		405	PRJNA203810	SAMN02183138	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288241	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	11	human gut metagenome	LS454	2013-06-04	SRR870436	SRS430900	SRP023463	112B_FE												
AMPLICON		408	PRJNA203810	SAMN02183140	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288243	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	2	6	human gut metagenome	LS454	2013-06-04	SRR870438	SRS430902	SRP023463	126B_FE												
AMPLICON		408	PRJNA203810	SAMN02183141	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288244	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	4	11	human gut metagenome	LS454	2013-06-04	SRR870439	SRS430903	SRP023463	128B_FE												
AMPLICON		407	PRJNA203810	SAMN02183142	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288245	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	8	human gut metagenome	LS454	2013-06-04	SRR870440	SRS430904	SRP023463	140B_FE												
AMPLICON		408	PRJNA203810	SAMN02183143	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288246	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	2	5	human gut metagenome	LS454	2013-06-04	SRR870441	SRS430905	SRP023463	142B_FE												
AMPLICON		409	PRJNA203810	SAMN02183144	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288247	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	6	15	human gut metagenome	LS454	2013-06-04	SRR870442	SRS430906	SRP023463	144B_FE												
AMPLICON		408	PRJNA203810	SAMN02183149	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288252	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	3	7	human gut metagenome	LS454	2013-06-04	SRR870447	SRS430911	SRP023463	170B_FE												
AMPLICON		414	PRJNA203810	SAMN02183150	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288253	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	1	3	human gut metagenome	LS454	2013-06-04	SRR870448	SRS430912	SRP023463	172B_FE												
AMPLICON		412	PRJNA203810	SAMN02183151	MIMARKS.survey	CSISP	public	sff sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX288254	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC		2013-05-30	1	4	human gut metagenome	LS454	2013-06-04	SRR870449	SRS430913	SRP023463	174B_FE												
