AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease_status	patient	stimulation	Assay_Type	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	source_name
52	SAMN10723948	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237806	894	445	SRR8430003	SRS4240719	GSM3559670	normal	control_1	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723948	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237806	903	447	SRR8430004	SRS4240719	GSM3559670	normal	control_1	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723948	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237806	906	448	SRR8430005	SRS4240719	GSM3559670	normal	control_1	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723947	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237807	941	467	SRR8430006	SRS4240720	GSM3559671	normal	control_1	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723947	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237807	944	466	SRR8430007	SRS4240720	GSM3559671	normal	control_1	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723947	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237807	948	467	SRR8430008	SRS4240720	GSM3559671	normal	control_1	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723946	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237808	944	469	SRR8430009	SRS4240721	GSM3559672	normal	control_2	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723946	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237808	945	467	SRR8430010	SRS4240721	GSM3559672	normal	control_2	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723946	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237808	949	468	SRR8430011	SRS4240721	GSM3559672	normal	control_2	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723945	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237809	811	404	SRR8430012	SRS4240722	GSM3559673	normal	control_2	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723945	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237809	812	403	SRR8430013	SRS4240722	GSM3559673	normal	control_2	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723945	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237809	815	404	SRR8430014	SRS4240722	GSM3559673	normal	control_2	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723944	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237810	797	396	SRR8430015	SRS4240723	GSM3559674	normal	control_2	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723944	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237810	800	395	SRR8430016	SRS4240723	GSM3559674	normal	control_2	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723944	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237810	803	397	SRR8430017	SRS4240723	GSM3559674	normal	control_2	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723943	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237811	786	389	SRR8430018	SRS4240724	GSM3559675	normal	control_2	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723943	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237811	787	388	SRR8430019	SRS4240724	GSM3559675	normal	control_2	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723943	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237811	791	389	SRR8430020	SRS4240724	GSM3559675	normal	control_2	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	647	320	SRR8430021	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	708	349	SRR8430022	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	644	320	SRR8430023	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	641	320	SRR8430024	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	642	318	SRR8430025	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	707	351	SRR8430026	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	703	350	SRR8430027	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723942	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237812	704	348	SRR8430028	SRS4240725	GSM3559676	normal	control_3	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	748	375	SRR8430029	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	752	373	SRR8430030	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	738	370	SRR8430031	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	736	371	SRR8430032	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	739	370	SRR8430033	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	750	374	SRR8430034	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	746	374	SRR8430035	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723941	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237813	747	372	SRR8430036	SRS4240726	GSM3559677	normal	control_3	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	694	343	SRR8430037	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	710	351	SRR8430038	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	693	345	SRR8430039	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	689	344	SRR8430040	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	691	342	SRR8430041	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	708	352	SRR8430042	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	704	352	SRR8430043	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723940	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237814	706	350	SRR8430044	SRS4240727	GSM3559678	normal	control_3	IFNa2_IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	644	316	SRR8430045	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	699	344	SRR8430046	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	641	317	SRR8430047	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	637	317	SRR8430048	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	639	315	SRR8430049	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	699	347	SRR8430050	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	695	346	SRR8430051	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723939	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237815	696	344	SRR8430052	SRS4240728	GSM3559679	normal	control_3	IL18	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723938	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237816	574	284	SRR8430053	SRS4240729	GSM3559680	SLE	lupus_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723938	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237816	574	285	SRR8430054	SRS4240729	GSM3559680	SLE	lupus_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723938	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237816	571	285	SRR8430055	SRS4240729	GSM3559680	SLE	lupus_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723938	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237816	572	283	SRR8430056	SRS4240729	GSM3559680	SLE	lupus_1	control	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
52	SAMN10723937	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX5237817	536	265	SRR8430057	SRS4240730	GSM3559681	SLE	lupus_1	IFNa2	RNA-Seq	PRJNA514365	GEO	public	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	2019-01-10	Homo sapiens	ILLUMINA	2019-01-23	SRP178271	keratinocytes
