Assay_Type	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	LibrarySelection	MBases	MBytes	Run	SRA_Sample	Sample_Name	strain	AvgSpotLen	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	cell_type	gender	source_name	tissue
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	375	226	SRR4289836	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	374	226	SRR4289838	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	375	224	SRR4289839	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	375	226	SRR4289841	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	374	225	SRR4289842	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	26	16	SRR4289844	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	375	231	SRR4289845	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	379	227	SRR4289847	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	377	228	SRR4289848	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	378	229	SRR4289850	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	374	229	SRR4289852	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	369	226	SRR4289813	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	52	32	SRR4289815	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	372	224	SRR4289817	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	370	222	SRR4289819	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	372	225	SRR4289820	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805006	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185368	size fractionation	373	224	SRR4289822	SRS1709047	GSM2325692	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	369	227	SRR4289824	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	370	224	SRR4289826	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	371	225	SRR4289828	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	373	226	SRR4289830	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
miRNA-Seq	SAMN05805005	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185369	size fractionation	370	225	SRR4289831	SRS1709048	GSM2325693	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	373	226	SRR4289833	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	372	228	SRR4289835	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	375	224	SRR4289837	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805007	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185370	cDNA	373	228	SRR4289840	SRS1709049	GSM2325694	C57BL/6J	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	376	230	SRR4289843	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	376	230	SRR4289846	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	375	230	SRR4289849	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
RNA-Seq	SAMN05805008	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2185371	cDNA	376	230	SRR4289851	SRS1709050	GSM2325695	MRL/lpr-Tnfrsf6lpr; MRL/lpr lupus model mice	101	PRJNA343928	GEO	public	0	Illumina HiSeq 2500	SINGLE	TRANSCRIPTOMIC	2016-09-22	Mus musculus	ILLUMINA	2016-09-26	SRP090301	16 week	CD4+ T cell	female	Spleen CD4 plus T cells	Spleen
