Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	aliquot	category	collection_date	geo_loc_name	host	isolation_source	lat_lon	timepoint	tissue	type_sequence	Consent	Platform	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id
AMPLICON	502	PRJNA342486	SAMN05757781	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155480	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA11	2016-09-09	28	20	human gut metagenome	2016-10-01	SRR4218858	SRS1685560	SRP087829	ERA11			Jun-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757782	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155481	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA12	2016-09-09	69	50	human gut metagenome	2016-10-01	SRR4218859	SRS1685561	SRP087829	ERA12			Apr-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757765	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155482	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C4	2016-09-09	62	41	human gut metagenome	2016-10-01	SRR4218860	SRS1685562	SRP087829	C4			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757783	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155483	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA13	2016-09-09	52	39	human gut metagenome	2016-10-01	SRR4218861	SRS1685563	SRP087829	ERA13			Mar-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757784	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155484	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA14	2016-09-09	54	37	human gut metagenome	2016-10-01	SRR4218862	SRS1685564	SRP087829	ERA14			Feb-2015	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757785	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155485	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C11	2016-09-09	76	51	human gut metagenome	2016-10-01	SRR4218863	SRS1685565	SRP087829	C11			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757786	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155486	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C12	2016-09-09	65	43	human gut metagenome	2016-10-01	SRR4218864	SRS1685566	SRP087829	C12			Aug-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757787	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155487	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C13	2016-09-09	52	34	human gut metagenome	2016-10-01	SRR4218865	SRS1685567	SRP087829	C13			Sep-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757788	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155488	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C14	2016-09-09	49	32	human gut metagenome	2016-10-01	SRR4218866	SRS1685568	SRP087829	C14			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757789	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155489	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C15	2016-09-09	88	59	human gut metagenome	2016-10-01	SRR4218867	SRS1685569	SRP087829	C15			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757790	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155490	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C16	2016-09-09	88	58	human gut metagenome	2016-10-01	SRR4218868	SRS1685572	SRP087829	C16			Nov-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757791	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155491	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C17	2016-09-09	43	28	human gut metagenome	2016-10-01	SRR4218869	SRS1685570	SRP087829	C17			Dec-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757792	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155492	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C18	2016-09-09	45	30	human gut metagenome	2016-10-01	SRR4218870	SRS1685571	SRP087829	C18			Dec-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757766	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155493	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C5	2016-09-09	36	23	human gut metagenome	2016-10-01	SRR4218871	SRS1685573	SRP087829	C5			Nov-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757793	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155494	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C19	2016-09-09	66	44	human gut metagenome	2016-10-01	SRR4218872	SRS1685574	SRP087829	C19			Jan-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757794	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155495	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA15	2016-09-09	21	14	human gut metagenome	2016-10-01	SRR4218873	SRS1685575	SRP087829	ERA15			Mar-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757795	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155496	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA16	2016-09-09	78	52	human gut metagenome	2016-10-01	SRR4218874	SRS1685576	SRP087829	ERA16			Nov-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757796	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155497	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA17	2016-09-09	43	30	human gut metagenome	2016-10-01	SRR4218875	SRS1685577	SRP087829	ERA17			Dec-2012	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757797	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155498	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA18	2016-09-09	57	38	human gut metagenome	2016-10-01	SRR4218876	SRS1685578	SRP087829	ERA18			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757798	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155499	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA19	2016-09-09	49	33	human gut metagenome	2016-10-01	SRR4218877	SRS1685579	SRP087829	ERA19			May-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757799	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155500	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA20	2016-09-09	20	14	human gut metagenome	2016-10-01	SRR4218878	SRS1685580	SRP087829	ERA20			May-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757800	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155501	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA21	2016-09-09	125	84	human gut metagenome	2016-10-01	SRR4218879	SRS1685581	SRP087829	ERA21			Sep-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757801	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155502	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA22	2016-09-09	73	48	human gut metagenome	2016-10-01	SRR4218880	SRS1685583	SRP087829	ERA22			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757802	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155503	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA23	2016-09-09	155	106	human gut metagenome	2016-10-01	SRR4218881	SRS1685582	SRP087829	ERA23			May-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757767	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155504	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C6	2016-09-09	55	36	human gut metagenome	2016-10-01	SRR4218882	SRS1685584	SRP087829	C6			Nov-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757803	MIMS.me	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155505	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA24	2016-09-09	119	81	human gut metagenome	2016-10-01	SRR4218883	SRS1685585	SRP087829	ERA24			Oct-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757768	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155506	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C7	2016-09-09	54	36	human gut metagenome	2016-10-01	SRR4218884	SRS1685586	SRP087829	C7			Dec-2013	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757769	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155507	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C8	2016-09-09	58	39	human gut metagenome	2016-10-01	SRR4218885	SRS1685587	SRP087829	C8			Jan-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757770	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155508	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	C9	2016-09-09	45	29	human gut metagenome	2016-10-01	SRR4218886	SRS1685588	SRP087829	C9			Jan-2014	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757771	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155509	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA1	2016-09-09	140	98	human gut metagenome	2016-10-01	SRR4218887	SRS1685589	SRP087829	ERA1			Mar-2012	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	502	PRJNA342486	SAMN05757772	MIGS/MIMS/MIMARKS.human-gut	UNIVERSITY OF ALABAMA AT BIRMINGHAM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2155510	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	ERA2	2016-09-09	44	32	human gut metagenome	2016-10-01	SRR4218888	SRS1685590	SRP087829	ERA2			Apr-2012	USA:Birmingham	Homo sapiens		Not Applicable				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941702	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274365	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.12.IgG.Plus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	15	10	human gut metagenome	2017-03-22	SRR4459731	SRS1765269	SRP092198	Longman.12.IgG.Plus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941701	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274366	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.12.IgA.Plus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	19	13	human gut metagenome	2017-03-22	SRR4459732	SRS1765268	SRP092198	Longman.12.IgA.Plus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941704	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274370	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.13.IgA.Minus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	23	15	human gut metagenome	2017-03-22	SRR4459737	SRS1765271	SRP092198	Longman.13.IgA.Minus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941703	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274371	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.12.Pre.sort-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	21	14	human gut metagenome	2017-03-22	SRR4459750	SRS1765272	SRP092198	Longman.12.Pre.sort			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941706	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274372	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.13.Pre.sort-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	33	21	human gut metagenome	2017-03-22	SRR4459755	SRS1765274	SRP092198	Longman.13.Pre.sort			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941705	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274373	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.13.IgA.Plus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	26	17	human gut metagenome	2017-03-22	SRR4459756	SRS1765273	SRP092198	Longman.13.IgA.Plus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941708	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274375	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.14.IgA.Plus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	19	12	human gut metagenome	2017-03-22	SRR4459757	SRS1765276	SRP092198	Longman.14.IgA.Plus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941707	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274379	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.14.IgA.Minus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	20	13	human gut metagenome	2017-03-22	SRR4459776	SRS1765278	SRP092198	Longman.14.IgA.Minus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
AMPLICON	500	PRJNA349809	SAMN05941710	Metagenome or environmental	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	contigs fastq sra	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2274380	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Longman.15.IgA.Minus-000000000-AL2PL.Ayvaz-p224-DSG-B-1_1pA	2016-10-27	18	12	human gut metagenome	2017-03-22	SRR4459778	SRS1765277	SRP092198	Longman.15.IgA.Minus			05-May-2015	USA: New York City, NY		Homo sapiens	40.730610 N 73.935242 W				public	ILLUMINA						
