Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	biomaterial_provider	cell_type	disease_state	isolate	sex	source_name	tissue	Consent	Platform
WXS		202	PRJNA316441	SAMN04580120	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666007	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580120	2016-03-28	8913	5671	Homo sapiens	2016-04-02	SRR3305051	SRS1364754	SRP072350	19	36	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			19, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580119	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666006	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580119	2016-03-28	12559	7958	Homo sapiens	2016-04-02	SRR3305050	SRS1364755	SRP072350	18	49	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			18, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580118	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666005	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580118	2016-03-28	6576	4173	Homo sapiens	2016-04-02	SRR3305049	SRS1364756	SRP072350	17	47	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			17, diffuse cutaneous systemic sclerosis, intersitial lung disease	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580117	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666004	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580117	2016-03-28	13354	9380	Homo sapiens	2016-04-02	SRR3305048	SRS1364757	SRP072350	16	33	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			16, diffuse cutaneous systemic sclerosis, intersitial lung disease	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580116	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666003	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580116	2016-03-28	9475	6640	Homo sapiens	2016-04-02	SRR3305047	SRS1364758	SRP072350	15	21	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			15, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580115	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666002	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580115	2016-03-28	11614	8177	Homo sapiens	2016-04-02	SRR3305046	SRS1364759	SRP072350	14	45	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			14, diffuse cutaneous systemic sclerosis	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580107	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666026	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580107	2016-03-28	7439	4734	Homo sapiens	2016-04-02	SRR3305068	SRS1364760	SRP072350	6	32	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			6, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580106	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666025	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580106	2016-12-12	6350	4096	Homo sapiens	2016-12-13	SRR3305067	SRS1364761	SRP072350	5	38	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			5, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580132	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666023	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580132	2016-03-28	6528	4081	Homo sapiens	2016-04-02	SRR3305065	SRS1364762	SRP072350	31	41	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			31, diffuse cutaneous systemic sclerosis, intersitial lung disease	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580133	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666024	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580133	2016-03-28	8513	5403	Homo sapiens	2016-04-02	SRR3305066	SRS1364763	SRP072350	32	46	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			32, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580105	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666021	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580105	2016-03-28	5397	3434	Homo sapiens	2016-04-02	SRR3305064	SRS1364764	SRP072350	4	43	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			4, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580131	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra unknown_contigs	gs ncbi s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666020	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580131	2016-03-28	6695	4343	Homo sapiens	2016-04-02	SRR3305063	SRS1364765	SRP072350	30	38	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			30, diffuse cutaneous systemic sclerosis, intersitial lung disease	male		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580130	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666019	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580130	2016-03-28	8937	5787	Homo sapiens	2016-04-02	SRR3305062	SRS1364766	SRP072350	29	59	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			29, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580129	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666017	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580129	2016-12-12	8539	5470	Homo sapiens	2016-12-13	SRR3305061	SRS1364768	SRP072350	28	31	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			28, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580127	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666015	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580127	2016-03-28	8285	5374	Homo sapiens	2016-04-02	SRR3305059	SRS1364769	SRP072350	26	39	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			26, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580128	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666016	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580128	2016-03-28	10154	6576	Homo sapiens	2016-04-02	SRR3305060	SRS1364770	SRP072350	27	25	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			27, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580126	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666014	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580126	2016-03-28	8262	5305	Homo sapiens	2016-04-02	SRR3305058	SRS1364771	SRP072350	25	58	Paul Wolters, 513 Parassus Ave, San Francisco, CA 94143			25, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580125	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666013	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580125	2016-03-28	10524	6587	Homo sapiens	2016-04-02	SRR3305057	SRS1364772	SRP072350	24	48	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			24, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580111	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666030	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580111	2016-03-28	7847	5516	Homo sapiens	2016-04-02	SRR3305072	SRS1364773	SRP072350	10	43	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			10, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580110	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666029	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580110	2016-03-28	8541	5995	Homo sapiens	2016-04-02	SRR3305071	SRS1364774	SRP072350	9	31	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			9, diffuse cutaneous systemic sclerosis, intersitial lung disease	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580109	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666028	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580109	2016-03-28	7969	5072	Homo sapiens	2016-04-02	SRR3305070	SRS1364775	SRP072350	8	39	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			8, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
WXS		202	PRJNA316441	SAMN04580108	Human	UNIVERSITY OF CALIFORNIA SAN FRANCISCO	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX1666027	0	Illumina HiSeq 2000	PAIRED	unspecified	GENOMIC	SAMN04580108	2016-03-28	8962	5669	Homo sapiens	2016-04-02	SRR3305069	SRS1364776	SRP072350	7	46	Lindsey Criswell, 513 Parassus Ave, S857, San Francisco, CA 94143			7, diffuse cutaneous systemic sclerosis	female		Whole blood	public	ILLUMINA
AMPLICON		387	PRJNA385561	SAMN06894101	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786541	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	AMN_B	2017-05-05	202	142	Homo sapiens	2018-06-30	SRR5512571	SRS2168527	SRP106516	Sample_1	1	USP, Ribeiro Preto, Brazil			Baseline	male		PBMC	public	ILLUMINA
AMPLICON		391	PRJNA385561	SAMN06894111	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786543	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	RAF_360	2017-05-05	168	115	Homo sapiens	2018-06-30	SRR5512573	SRS2168528	SRP106516	Sample_11	11	USP, Ribeiro Preto, Brazil			Day 360	male		PBMC	public	ILLUMINA
AMPLICON		407	PRJNA385561	SAMN06894102	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786542	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	AMN_180	2017-05-05	250	175	Homo sapiens	2018-06-30	SRR5512572	SRS2168529	SRP106516	Sample_2	2	USP, Ribeiro Preto, Brazil			Day 180	male		PBMC	public	ILLUMINA
AMPLICON		399	PRJNA385561	SAMN06894112	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786544	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	RAF_720	2017-05-05	258	179	Homo sapiens	2018-06-30	SRR5512574	SRS2168530	SRP106516	Sample_12	12	USP, Ribeiro Preto, Brazil			Day 720	female		PBMC	public	ILLUMINA
AMPLICON		365	PRJNA385561	SAMN06894113	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786545	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	SAA_B	2017-05-05	208	143	Homo sapiens	2018-06-30	SRR5512575	SRS2168531	SRP106516	Sample_13	13	USP, Ribeiro Preto, Brazil			Baseline	female		PBMC	public	ILLUMINA
AMPLICON		377	PRJNA385561	SAMN06894114	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786546	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	SAA_180	2017-05-05	243	170	Homo sapiens	2018-06-30	SRR5512576	SRS2168532	SRP106516	Sample_14	14	USP, Ribeiro Preto, Brazil			Day 180	female		PBMC	public	ILLUMINA
AMPLICON		411	PRJNA385561	SAMN06894115	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786547	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	SAA_360	2017-05-05	240	169	Homo sapiens	2018-06-30	SRR5512577	SRS2168533	SRP106516	Sample_15	15	USP, Ribeiro Preto, Brazil			Day 360	female		PBMC	public	ILLUMINA
AMPLICON		383	PRJNA385561	SAMN06894117	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786549	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	ESS_180	2017-05-05	306	212	Homo sapiens	2018-06-30	SRR5512579	SRS2168534	SRP106516	Sample_17	17	USP, Ribeiro Preto, Brazil			Day 180	female		PBMC	public	ILLUMINA
AMPLICON		385	PRJNA385561	SAMN06894116	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786548	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	ESS_B	2017-05-05	243	168	Homo sapiens	2018-06-30	SRR5512578	SRS2168535	SRP106516	Sample_16	16	USP, Ribeiro Preto, Brazil			Baseline	female		PBMC	public	ILLUMINA
AMPLICON		394	PRJNA385561	SAMN06894118	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786550	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	ESS_360	2017-05-05	22	15	Homo sapiens	2018-06-30	SRR5512580	SRS2168536	SRP106516	Sample_18	18	USP, Ribeiro Preto, Brazil			Day 360	female		PBMC	public	ILLUMINA
AMPLICON		374	PRJNA385561	SAMN06894119	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786551	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	JGS_B	2017-05-05	241	170	Homo sapiens	2018-06-30	SRR5512581	SRS2168537	SRP106516	Sample_19	19	USP, Ribeiro Preto, Brazil			Baseline	female		PBMC	public	ILLUMINA
AMPLICON		389	PRJNA385561	SAMN06894120	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786552	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	JGS_360	2017-05-05	296	209	Homo sapiens	2018-06-30	SRR5512582	SRS2168538	SRP106516	Sample_20	20	USP, Ribeiro Preto, Brazil			Day 360	female		PBMC	public	ILLUMINA
AMPLICON		399	PRJNA385561	SAMN06894103	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786553	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	AMN_720	2017-05-05	253	178	Homo sapiens	2018-06-30	SRR5512583	SRS2168539	SRP106516	Sample_3	3	USP, Ribeiro Preto, Brazil			Day 720	male		PBMC	public	ILLUMINA
AMPLICON		375	PRJNA385561	SAMN06894121	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786554	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	JRF_B	2017-05-05	215	153	Homo sapiens	2018-06-30	SRR5512584	SRS2168540	SRP106516	Sample_21	21	USP, Ribeiro Preto, Brazil			Baseline	female		PBMC	public	ILLUMINA
AMPLICON		377	PRJNA385561	SAMN06894122	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786555	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	JRF_180	2017-05-05	187	132	Homo sapiens	2018-06-30	SRR5512585	SRS2168541	SRP106516	Sample_22	22	USP, Ribeiro Preto, Brazil			Day 180	female		PBMC	public	ILLUMINA
AMPLICON		364	PRJNA385561	SAMN06894105	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786558	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	AS_180	2017-05-05	290	199	Homo sapiens	2018-06-30	SRR5512588	SRS2168542	SRP106516	Sample_5	5	USP, Ribeiro Preto, Brazil			Day 180	male		PBMC	public	ILLUMINA
AMPLICON		371	PRJNA385561	SAMN06894104	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786557	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	AS_B	2017-05-05	173	120	Homo sapiens	2018-06-30	SRR5512587	SRS2168543	SRP106516	Sample_4	4	USP, Ribeiro Preto, Brazil			Baseline	male		PBMC	public	ILLUMINA
AMPLICON		382	PRJNA385561	SAMN06894123	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786556	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	JRF_720	2017-05-05	223	157	Homo sapiens	2018-06-30	SRR5512586	SRS2168544	SRP106516	Sample_23	23	USP, Ribeiro Preto, Brazil			Day 720	female		PBMC	public	ILLUMINA
AMPLICON		376	PRJNA385561	SAMN06894106	Human	INSERM	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va	SRX2786559	0	Illumina MiSeq	PAIRED	RT-PCR	TRANSCRIPTOMIC	AS_720	2017-05-05	164	113	Homo sapiens	2018-06-30	SRR5512589	SRS2168545	SRP106516	Sample_6	6	USP, Ribeiro Preto, Brazil			Day 720	male		PBMC	public	ILLUMINA
